"","acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"83",7.9,0.47,2,0.086,73,0.997,3.36,0.57,9.1,5
"85",6.6,0.48,1.8,0.069,61,0.9959,3.44,0.78,10.3,6
"86",7.45,0.15,2.2,0.076,40,0.9961,3.41,0.59,10.1,5
"88",8.19,0.26,1.9,0.062,31,0.9966,3.39,0.64,9.6,5
"90",7.62,0.08,1.8,0.076,24,0.9978,3.48,0.53,9,5
"94",8.19,0.26,1.9,0.062,31,0.9966,3.39,0.64,9.6,5
"97",7.58,0,3,0.102,23,0.9965,3.45,0.56,10.7,5
"98",7.5,0.25,2,0.07,22,0.9963,3.25,0.63,9.2,5
"99",8.5,0.06,2.5,0.079,10,0.9967,3.39,0.56,9.8,5
"100",8.64,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,6
"101",8.91,0.3,2.1,0.084,50,0.9972,3.4,0.61,10.2,6
"102",8.3,0.3,1.9,0.075,22,0.9959,3.31,0.56,10.4,6
"103",8.64,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,6
"104",8.67,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,5
"105",7.69,0.24,2.2,0.07,36,0.996,3.33,0.48,9.4,5
"106",8.67,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,5
"108",6.83,0.31,1.7,0.088,64,0.9969,3.46,0.79,9.3,5
"109",8.33,0.53,2.5,0.091,80,0.9976,3.37,0.8,9.6,6
"111",8.36,0.19,1.8,0.104,47,0.9964,3.19,0.93,9.5,5
"112",9.02,0.09,2.2,0.084,108,0.9964,3.15,0.66,9.8,5
"113",9,0.1,2.2,0.085,111,0.9964,3.15,0.66,9.8,5
"114",10.41,0.44,2.3,0.08,46,0.9988,3.32,0.67,9.7,6
"115",8.36,0.19,1.8,0.104,47,0.9964,3.19,0.93,9.5,5
"116",9.8,0.31,2.2,0.09,62,0.9966,3.07,0.63,10.5,6
"117",8.84,0.28,1.9,0.077,40,0.9978,3.39,0.61,10,6
"118",8.36,0.12,2,0.082,28,0.997,3.37,0.5,9.4,6
"120",7.69,0.08,1.8,0.097,89,0.9959,3.34,0.54,9.2,6
"123",8,0,2.5,0.075,13,0.998,3.49,0.52,9.2,5
"124",8.71,0,2.6,0.08,34,0.9976,3.44,0.53,9.5,5
"125",8.3,0.17,1.6,0.082,102,0.996,3.39,0.48,9.5,5
"127",9.53,0,1.7,0.081,12,0.9964,3.53,0.49,10.9,5
"128",9.43,0,1.8,0.082,12,0.9964,3.54,0.48,10.9,5
"129",8.59,0.16,1.8,0.065,16,0.9962,3.42,0.92,10.5,7
"130",6.48,0.15,1.8,0.072,19,0.9955,3.42,0.57,9.4,5
"132",6.1,0.09,2.3,0.049,99,0.9937,3.63,0.63,13,5
"133",6.1,0.09,2.3,0.049,99,0.9937,3.63,0.63,13,5
"134",7.1,0.01,1.5,0.06,26,0.9952,3.4,0.58,9.8,6
"135",8.94,0.05,2.2,0.084,29,0.9959,3.22,0.55,9.9,6
"136",9.14,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6,5
"137",9.02,0.15,1.8,0.089,52,0.9968,3.23,0.77,9.5,5
"138",7.62,0.36,2,0.081,45,0.9972,3.48,0.64,9.2,5
"139",8.36,0.19,2.1,0.081,105,0.9962,3.33,0.54,9.5,5
"140",8.36,0.19,2,0.081,108,0.9962,3.32,0.54,9.5,5
"141",9.14,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6,5
"142",9.02,0.15,1.8,0.089,52,0.9968,3.23,0.77,9.5,5
"144",6.69,0.08,1.7,0.066,20,0.9954,3.34,0.58,9.4,5
"147",6.48,0.02,1.8,0.087,94,0.9944,3.54,0.52,10,5
"149",7.39,0.1,2.3,0.074,30,0.9959,3.42,0.58,10.2,6
"150",8.6,0.44,2.8,0.089,43,0.9975,3.53,0.61,10.5,6
"151",7.63,0.47,2.1,0.077,11,0.9958,3.33,0.53,10.3,6
"153",8.1,0.03,1.8,0.095,99,0.995,3.35,0.54,10.1,5
"154",8.1,0.03,1.8,0.095,99,0.995,3.35,0.54,10.1,5
"159",7.78,0,2.2,0.073,22,0.9969,3.48,0.5,9.3,5
"160",7.4,0.18,1.9,0.079,86,0.9968,3.59,0.57,9.3,6
"161",8.55,0.03,2,0.09,20,0.9959,3.2,0.56,9.6,5
"163",8.33,0.04,1.7,0.076,31,0.9964,3.33,0.56,10,6
"166",8.43,0.48,1.7,0.1,96,0.9961,3.19,0.62,9.5,5
"167",7.44,0.1,2.1,0.085,101,0.9956,3.34,0.52,10.2,5
"168",7.85,0.03,1.6,0.072,42,0.9956,3.37,0.48,9,4
"169",7.43,0.07,2.1,0.089,44,0.9953,3.47,0.55,10.4,6
"171",8.79,0.03,1.8,0.058,8,0.9972,3.36,0.33,9.1,4
"172",8.42,0.17,2,0.073,18,0.9972,3.29,0.61,9.2,6
"173",8.42,0.17,2,0.073,18,0.9972,3.29,0.61,9.2,6
"174",8.02,0.05,1.9,0.068,42,0.9961,3.42,0.57,11.5,6
"175",7.68,0.21,2,0.08,35,0.9961,3.33,0.47,9.5,5
"176",7.4,0.04,1.5,0.085,49,0.9958,3.35,0.78,9.5,5
"177",7.68,0.21,2,0.08,35,0.9961,3.33,0.47,9.5,5
"178",8.02,0.42,2.3,0.087,38,0.9972,3.58,0.61,10.5,6
"179",7.8,0,2.5,0.068,20,0.9969,3.48,0.56,9.6,5
"180",9.41,0.14,2.4,0.067,42,0.9969,3.19,0.59,9.5,5
"181",9.41,0.14,2.4,0.067,42,0.9969,3.19,0.59,9.5,5
"183",7.93,0.02,2.5,0.076,42,0.9972,3.44,0.52,9.3,5
"184",7.41,0.2,1.8,0.077,65,0.9971,3.54,0.58,9.3,5
"185",7.32,0.21,1.9,0.079,62,0.997,3.52,0.58,9.3,6
"186",9.21,0.57,2,0.111,85,0.9971,3.26,0.53,9.7,5
"187",7.79,0.48,2,0.082,67,0.9972,3.34,0.55,9.2,5
"188",8.4,0.1,2.6,0.084,26,0.9976,3.39,0.49,9.7,5
"192",6.77,0.25,1.9,0.074,49,0.9974,3.57,0.62,9.8,6
"194",8.15,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7,5
"195",8.15,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7,5
"197",7.88,0.3,2.4,0.074,55,0.9968,3.46,0.59,10.2,5
"199",6.24,0.08,1.2,0.046,93,0.9924,3.57,0.85,13,7
"200",7.99,0.06,2.1,0.061,31,0.9948,3.51,0.43,11.4,4
"201",9.92,0.47,1.4,0.056,24,0.997,3.22,0.82,10.3,7
"203",7.3,0.11,1.5,0.075,49,0.9954,3.36,0.79,9.5,5
"204",7.42,0.35,1.6,0.088,39,0.9961,3.34,0.55,9.2,5
"205",7.43,0.36,1.6,0.089,37,0.9962,3.34,0.56,9.2,6
"209",8.24,0.28,2.7,0.1,95,0.9966,3.22,0.67,9.4,5
"210",11.3,0.58,2.1,0.054,19,0.998,3.31,0.88,10.5,7
"212",8.72,0.24,2.8,0.083,62,0.9968,3.35,0.56,10,6
"213",12.04,0.64,2.1,0.059,15,0.998,3.21,0.67,10.2,6
"214",8.77,0.26,2.2,0.06,65,0.9959,3.3,0.43,10.1,5
"215",8.54,0.08,2.4,0.092,41,0.9974,3.24,0.71,9.8,6
"217",9.32,0.16,2,0.101,49,0.9962,3.14,0.57,11,5
"218",8.82,0.22,2.2,0.072,41,0.9967,3.36,0.55,9.1,5
"219",7.99,0.19,1.9,0.076,44,0.9957,3.39,0.54,9.7,5
"221",8.14,0.37,2,0.082,58,0.9964,3.34,0.59,9.4,6
"222",7.93,0.26,2,0.101,72,0.9957,3.15,0.57,9.4,5
"223",7.41,0.04,1.5,0.057,10,0.9952,3.42,0.6,9.5,5
"224",9.24,0.25,2,0.083,28,0.9982,3.28,0.6,10,6
"225",9.04,0.36,2,0.089,55,0.9974,3.31,0.57,10.4,4
"226",8.13,0.25,2.6,0.073,63,0.9962,3.37,0.58,10.5,6
"228",9.82,0.14,2.6,0.089,23,0.9984,3.39,0.63,9.8,5
"229",8.13,0.25,2.6,0.073,63,0.9962,3.37,0.58,10.5,6
"230",7.42,0.25,2.6,0.081,37,0.9968,3.46,0.5,11,5
"231",5.68,0.04,1.6,0.054,106,0.9927,3.54,0.62,12.2,7
"232",8.38,0.06,1.8,0.078,49,0.9962,3.37,0.52,9.9,6
"233",8.87,0.2,2.8,0.09,58,0.998,3.34,0.7,9.6,6
"234",7.42,0.25,2.6,0.081,37,0.9968,3.46,0.5,11,5
"235",9.2,0.09,2.3,0.065,37,0.9968,3.32,0.55,9,6
"236",7.83,0,1.9,0.097,38,0.9968,3.37,0.58,9,6
"237",7.83,0,1.9,0.097,38,0.9968,3.37,0.58,9,6
"238",7.85,0,1.9,0.097,39,0.9968,3.37,0.58,9.2,6
"239",7.83,0,1.9,0.097,38,0.9968,3.37,0.58,9,6
"240",9.2,0.09,2.3,0.065,37,0.9968,3.32,0.55,9,6
"242",12.38,0.56,2.1,0.093,24,0.9992,3.14,0.71,10.9,6
"243",8.28,0.1,1.8,0.102,109,0.9956,3.08,0.49,9.8,6
"247",7.78,0.07,1.9,0.075,51,0.9968,3.38,0.52,9.5,5
"248",8.8,0.17,2.3,0.072,73,0.9963,3.2,0.45,9.3,5
"249",8.23,0.06,1.7,0.074,39,0.9962,3.35,0.48,9.8,6
"251",11.12,0.44,1.6,0.063,37,0.9985,3.22,0.78,10,6
"252",7.7,0,1.8,0.074,34,0.9972,3.47,0.7,9.9,6
"253",11.45,0.48,3.1,0.09,21,0.9986,3.17,0.53,10.5,5
"254",8.47,0.42,1.9,0.092,86,0.9959,3.23,0.59,9.5,5
"255",7.7,0,1.8,0.074,34,0.9972,3.47,0.7,9.9,6
"257",9.74,0.37,2.2,0.075,13,0.998,3.22,0.62,9.2,5
"258",7.29,0,2.1,0.075,56,0.9968,3.49,0.67,9.2,5
"260",10.31,0.47,2.6,0.085,33,0.9996,3.36,0.8,10.5,7
"261",8.23,0.23,1.7,0.077,45,0.9962,3.29,0.65,9.3,5
"262",7.97,0.04,2,0.087,67,0.9956,3.35,0.6,9.4,4
"263",8.52,0.03,1.7,0.07,35,0.9958,3.34,0.57,10,5
"264",8.27,0.23,1.8,0.077,49,0.9963,3.28,0.67,9.3,5
"266",12.06,0.52,1.8,0.071,10,0.9968,3.2,0.72,10.2,7
"267",8.97,0,3.3,0.096,61,1.0003,3.6,0.72,9.8,4
"268",8.25,0.46,3.6,0.078,37,0.9973,3.35,0.86,12.8,8
"274",9.12,0.2,2.4,0.076,38,0.9974,3.31,0.64,9.4,5
"281",11.66,0.44,3.6,0.071,19,0.9986,3.12,0.82,9.3,6
"283",8.12,0.12,3,0.067,53,0.9971,3.36,0.57,9.1,5
"285",10.49,0.07,3.4,0.102,71,1.0002,3.31,0.71,9.8,5
"286",10.49,0.07,3.4,0.102,71,1.0002,3.31,0.71,9.8,5
"287",12.45,0.55,2,0.073,49,0.9997,3.1,0.76,10.3,6
"288",7.9,0.12,3,0.092,53,0.9967,3.37,0.7,10.3,6
"289",9.22,0.09,2.5,0.091,49,0.9976,3.34,0.86,10.6,7
"291",9.22,0.09,2.5,0.091,49,0.9976,3.34,0.86,10.6,7
"293",10.95,0.23,2.7,0.091,48,0.9994,3.22,0.64,10.3,6
"294",7.26,0.25,2.4,0.098,16,0.9964,3.41,0.6,10.1,6
"296",11.3,0.46,2.5,0.073,27,1.0001,3.05,0.64,9.5,5
"297",11.43,0.37,2.6,0.086,70,0.9981,3.16,0.52,9.9,5
"298",7.73,0.06,2,0.083,29,0.9986,3.67,0.73,9.6,5
"299",7.85,0.02,2.3,0.094,31,0.9993,3.67,0.8,9.7,5
"300",7.57,0.06,2.1,0.08,33,0.9984,3.68,0.71,9.6,5
"301",8.03,0.06,2.6,0.086,44,0.9965,3.38,0.59,10.7,6
"302",11.28,0.48,1.5,0.068,15,0.9973,3.22,0.64,10.1,6
"303",9.01,0.12,2.6,0.092,28,0.9994,3.51,0.72,10,5
"305",9.05,0.6,2.1,0.112,90,0.9973,3.2,0.52,9.2,5
"306",10.83,0.48,2.5,0.063,25,0.9998,3.12,0.59,9.3,6
"307",8.22,0.32,2.2,0.082,54,0.9966,3.36,0.52,9.4,5
"310",7.69,0.38,1.7,0.062,30,0.9968,3.41,0.53,9.5,6
"311",10.83,0.48,2.5,0.063,25,0.9998,3.12,0.59,9.3,6
"312",8.43,0.24,2,0.072,105,0.996,3.27,0.54,9.4,6
"313",9.46,0.31,2.8,0.093,98,0.9982,3.32,0.63,9.5,6
"315",7.76,0.29,2.6,0.087,72,0.9964,3.39,0.68,11,5
"316",7.45,0.29,2.5,0.096,53,0.9962,3.42,0.65,11,6
"317",10.16,0.23,3.4,0.102,92,0.9996,3.3,0.65,10.1,5
"318",10.37,0.12,2.9,0.082,74,0.9986,3.3,0.64,10.4,6
"319",10.46,0.39,3.2,0.083,59,0.9989,3.37,0.71,11.5,7
"320",10.37,0.12,2.9,0.082,74,0.9986,3.3,0.64,10.4,6
"321",10.46,0.39,3.2,0.083,59,0.9989,3.37,0.71,11.5,7
"322",9.91,0.26,3.4,0.09,87,0.9998,3.24,0.62,9.7,5
"323",8.42,0.05,2.3,0.079,18,0.9974,3.29,0.63,9.3,5
"324",10.89,0.42,2.8,0.09,73,0.999,3.28,0.7,9.5,6
"330",11.16,0.39,2,0.061,15,0.9981,3.18,0.62,9.5,5
"333",8.58,0.28,3.2,0.066,114,0.9973,3.22,0.54,9.4,6
"334",8.96,0.08,2.1,0.105,44,0.9958,3.13,0.52,11,5
"335",8.55,0.01,2.5,0.078,38,0.9963,3.34,0.74,11.7,7
"337",9.33,0.45,1.9,0.052,16,0.9948,3.35,0.7,12.5,6
"338",8.23,0.32,2.8,0.08,58,0.9974,3.31,0.64,10.3,5
"342",11.02,0.48,2.7,0.065,18,0.9972,3.21,0.87,11.3,6
"345",12.47,0.5,2.6,0.082,32,1.0006,3.12,0.78,10.7,6
"346",7.69,0,1.9,0.067,63,0.9979,3.6,0.81,9.9,5
"347",7.41,0.02,2.7,0.072,34,0.9955,3.58,0.89,12.3,7
"349",10.16,0.31,2.8,0.089,46,0.9979,3.11,0.92,10,6
"350",9.88,0,2.6,0.093,28,0.9994,3.36,0.86,9.4,6
"352",9.89,0,2.6,0.096,26,0.9994,3.35,0.83,9.4,6
"353",8.37,0,2.4,0.09,19,0.9974,3.27,0.73,9.3,5
"356",7.45,0.01,2.4,0.078,32,0.9955,3.55,0.61,12.8,6
"357",11.91,0.52,3,0.08,55,1.0001,3.26,0.88,11,5
"358",10.92,0.66,2.95,0.116,29,0.997,3.24,0.75,11.7,7
"359",12.33,0.66,3.1,0.109,23,1,3.15,0.85,10.4,7
"361",8.9,0.23,2,0.099,81,0.9973,3.19,0.7,9.4,5
"362",9.05,0.31,2.6,0.086,50,0.9982,3.37,0.91,9.9,6
"363",12.48,0.66,2.5,0.072,37,0.9992,3.05,0.56,10,5
"366",10.42,0.5,3.4,0.107,21,0.9979,3.26,0.93,11.8,6
"368",10.97,0.61,2.6,0.076,24,1,3.16,0.69,9,5
"371",7.66,0.02,2.3,0.063,63,0.9975,3.57,0.78,9.9,5
"372",8.14,0.4,1.6,0.056,25,0.9967,3.32,0.87,8.7,6
"374",7.95,0.22,2.2,0.106,72,0.9959,3.05,0.63,9.2,5
"380",8.72,0.38,2.5,0.094,60,0.9979,3.31,0.7,10.8,6
"381",8.56,0.42,2,0.08,27,0.9974,3.21,0.8,9.4,6
"383",8.56,0.42,2,0.08,27,0.9974,3.21,0.8,9.4,6
"384",8.56,0.42,2,0.08,27,0.9974,3.21,0.8,9.4,6
"385",8.21,0.28,2.1,0.087,54,0.998,3.42,0.74,9.2,5
"386",8.03,0.07,2.4,0.09,37,0.9979,3.43,0.76,9.7,6
"387",8.34,0.26,2,0.088,48,0.9981,3.41,0.74,9.2,6
"388",8.96,0.15,1.9,0.079,42,0.9972,3.31,0.54,9.6,6
"389",8.26,0.26,1.9,0.088,53,0.9981,3.43,0.74,9.2,6
"390",9.98,0.31,2.5,0.096,49,0.9982,3.19,0.7,10,7
"391",6.45,0.05,1.4,0.045,88,0.9924,3.56,0.82,12.9,8
"393",9.87,0.52,2,0.082,26,0.998,3.18,0.51,9.5,5
"394",9.07,0.61,2,0.112,95,0.997,3.16,0.54,9.1,5
"398",12.09,0.59,2.6,0.087,49,0.9988,3.18,0.65,11,6
"399",12.09,0.59,2.6,0.087,49,0.9988,3.18,0.65,11,6
"400",9.46,0.22,2.3,0.064,42,0.9963,3.1,0.55,9.4,5
"402",7.96,0.3,1.7,0.059,38,0.9949,3.29,0.47,10.8,6
"403",12.68,0.54,2.6,0.085,64,1,3.1,0.61,10.5,6
"404",12,0.49,2.7,0.085,41,0.9994,3.15,0.63,10.5,6
"405",8.39,0.05,2.7,0.075,27,0.9974,3.26,0.61,9.1,5
"406",9.01,0.46,1.4,0.059,25,0.9966,3.36,0.76,10.1,6
"407",10.24,0.47,2.5,0.063,28,0.9981,3.24,0.65,10.8,6
"408",12.39,0.66,3,0.093,30,0.9996,3.18,0.63,10.8,7
"411",9.43,0.34,2.5,0.08,86,0.9987,3.38,0.62,9.5,6
"412",9.55,0.35,2.4,0.08,78,0.9987,3.38,0.62,9.5,5
"413",7.84,0.16,1.9,0.1,77,0.9966,3.27,0.64,9.3,5
"417",11.08,0.64,2.2,0.111,20,0.997,3.26,0.66,11.7,6
"420",7.57,0,1.8,0.066,52,0.9976,3.62,0.68,9.9,5
"421",10.06,0.33,2.4,0.089,67,0.9972,3.28,0.73,11.8,7
"422",7.44,0.03,2.3,0.059,48,0.9952,3.52,0.56,12.3,7
"423",8.66,0.2,2,0.047,60,0.9955,3.36,0.44,10.9,5
"424",10.74,0.47,2.1,0.066,24,0.9978,3.15,0.9,11,7
"425",8.66,0.2,2,0.047,60,0.9955,3.36,0.44,10.9,5
"426",7.44,0.03,2.3,0.059,48,0.9952,3.52,0.56,12.3,7
"427",7.07,0.08,2.1,0.045,48,0.9949,3.49,0.49,11.4,6
"428",10.28,0.22,1.9,0.077,32,0.9988,3.26,0.56,10.6,6
"429",9.62,0.33,1.3,0.07,30,0.9978,3.24,0.6,9.3,5
"431",10.74,0.47,2.1,0.066,24,0.9978,3.15,0.9,11,7
"432",8.35,0.35,2.2,0.074,66,0.9974,3.25,0.56,9.2,5
"433",12.27,0.69,2.3,0.078,24,0.9958,3,0.65,12.8,6
"434",12.69,0.63,2.3,0.091,18,1.0004,3.16,0.49,9.5,5
"435",10.81,0.55,3.2,0.076,54,0.9996,3.15,0.89,9.9,6
"436",12.69,0.63,2.3,0.091,18,1.0004,3.16,0.49,9.5,5
"437",8.67,0.3,2,0.06,62,0.9958,3.26,0.56,10.2,6
"438",11.55,0.73,3.2,0.066,22,0.9986,3.17,0.66,11.2,6
"439",10.81,0.55,3.2,0.076,54,0.9996,3.15,0.89,9.9,6
"440",7.62,0.18,1.5,0.062,50,0.9951,3.08,0.6,9.3,5
"442",12.3,0.65,2.15,0.068,27,0.9988,3.06,0.68,11.3,6
"444",10.44,0.49,2.7,0.077,19,0.9963,3.23,0.63,11.6,7
"445",5.87,0.01,1.7,0.054,27,0.9934,3.57,0.84,12.5,7
"446",10.23,0.1,2.1,0.079,31,0.9986,3.23,0.56,10.1,6
"449",9.13,0.22,2,0.1,27,0.9967,3.2,0.56,10.2,6
"450",12.29,0.69,2.8,0.095,35,0.9994,3.1,0.61,10.8,6
"451",12.29,0.69,2.8,0.095,35,0.9994,3.1,0.61,10.8,6
"453",7.36,0.03,1.7,0.084,35,0.9968,3.44,0.63,10,6
"454",10.73,0.63,2.8,0.084,22,0.9998,3.26,0.74,11.2,7
"455",7.23,0.4,1.6,0.063,67,0.9952,3.5,0.63,11.1,5
"457",9.49,0.39,2.3,0.095,22,0.9986,3.37,0.58,10.3,5
"458",9.83,0.21,2.7,0.097,65,0.9988,3.28,0.58,9.6,5
"459",10.73,0.63,2.8,0.084,22,0.9998,3.26,0.74,11.2,7
"461",9.63,0.52,2.3,0.083,23,0.9976,3.35,0.61,11.3,6
"462",8.92,0.22,2.6,0.087,19,0.9982,3.26,0.61,9.3,5
"463",11.26,0.68,2.55,0.085,25,0.997,3.18,0.61,11.8,5
"465",11.81,0.54,2.1,0.084,15,0.9987,2.98,0.7,9.2,6
"466",10.29,0.4,2.9,0.098,26,1.0006,3.48,0.91,9.7,5
"467",10.8,0.42,2,0.069,51,0.9982,3.16,0.72,11.5,6
"469",11.76,0.69,2.1,0.09,21,1,3.17,0.62,9.2,6
"470",9.52,0.02,1.2,0.07,48,0.9952,3.2,0.58,9.8,5
"472",10.14,0.42,2.4,0.081,52,0.997,3.2,0.71,11.4,6
"474",10.25,0.55,2.1,0.062,14,0.9971,3.26,0.79,10.6,5
"475",10.78,0.51,1.7,0.08,24,0.9982,3.2,0.89,9.4,6
"476",10.28,0.24,2.2,0.087,28,0.9988,3.14,0.6,10.2,5
"477",9.57,0.41,2,0.091,16,0.998,3.28,0.7,9.7,5
"479",10.28,0.24,2.2,0.087,28,0.9988,3.14,0.6,10.2,5
"480",10.09,0.11,2.7,0.077,31,0.9984,3.19,0.7,10.1,6
"482",9.7,0.56,2.8,0.08,17,0.9964,3.15,0.92,11.7,8
"486",10.87,0.39,1.9,0.054,17,0.9976,3.17,0.47,10,5
"487",10.87,0.39,1.9,0.054,17,0.9976,3.17,0.47,10,5
"488",10.84,0.36,1.8,0.053,14,0.9982,3.17,0.42,10,6
"489",11.92,0.55,2.8,0.081,67,1.0002,3.32,0.92,10.8,7
"490",9.69,0.4,2.6,0.073,26,0.9984,3.34,0.75,10.2,6
"491",10.08,0.27,2.8,0.078,56,0.9984,3.31,0.67,10.6,6
"494",9.39,0.31,3,0.086,81,1.0002,3.48,0.74,11.6,6
"496",11.05,0.53,2.6,0.07,16,0.9972,3.15,0.65,11,8
"497",8.32,0.25,1.9,0.081,38,0.9984,3.43,0.65,9,6
"498",7.54,0.32,2.5,0.09,113,0.9966,3.32,0.79,11.1,5
"499",11.05,0.53,2.6,0.07,16,0.9972,3.15,0.65,11,8
"500",9.39,0.31,3,0.086,81,1.0002,3.48,0.74,11.6,6
"501",8.32,0.25,1.9,0.081,38,0.9984,3.43,0.65,9,6
"506",10.69,0.63,2.9,0.072,26,0.9968,3.16,0.78,12.5,7
"508",11.87,0.55,2.3,0.084,13,1,3.17,0.71,9.5,6
"509",10.59,0.31,2.2,0.09,62,0.9994,3.18,0.63,10.2,6
"512",10.59,0.31,2.2,0.09,62,0.9994,3.18,0.63,10.2,6
"514",11.01,0.64,2.4,0.107,15,0.9973,3.09,0.66,11.8,7
"515",11.01,0.64,2.4,0.107,15,0.9973,3.09,0.66,11.8,7
"519",11.11,0.49,2.8,0.088,32,0.9972,3.22,0.68,11.7,6
"520",7.66,0.49,2.5,0.088,106,0.9966,3.36,0.78,11,5
"521",10.05,0.49,2.7,0.088,33,0.9982,3.42,0.9,10,6
"522",8.01,0.49,2,0.088,43,0.998,3.48,0.64,9.1,5
